Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771590280.083228,17.4,2.66599784113277,17.4
1771590280.084611,-11.55,-2.142764619975872,-11.55
1771590280.084734,-29.2,-5.0745317162994485,-29.2
1771590280.113205,8.0,1.1046034668867863,8.0
1771590280.114948,-3.1,-0.7391707409994288,-3.1
1771590280.115049,9.8,1.4035938789764428,9.8
1771590280.143646,-10.25,-1.9268271001333421,-10.25
1771590280.146642,-12.8,-2.350396850593689,-12.8
1771590280.146687,11.15,1.6278366880436852,11.15
1771590280.175133,-10.3,-1.935132389358055,-10.3
1771590280.175489,0.9,-0.07474760302241436,0.9
1771590280.205133,5.35,0.6644231379770141,5.35
1771590280.205807,-2.25,-0.5979808241793133,-2.25
1771590280.205908,1.7,0.05813702457298852,1.7
1771590280.206002,-22.0,-3.878570067940822,-22.0
1771590280.235543,7.3,0.9883294177408087,7.3
1771590280.235735,-18.6,-3.31381040066036,-18.6
1771590280.236070,2.95,0.2657692551908056,2.95
1771590280.263832,20.45,3.1726204838402436,20.45
1771590280.265907,-0.9,-0.37373801511207083,-0.9
1771590280.295374,-6.15,-1.2457933837069024,-6.15
1771590280.295465,6.15,0.7973077655724172,6.15
1771590280.295820,-4.5,-0.9717188392913839,-4.5
1771590280.323310,9.95,1.4285097466505807,9.95
1771590280.324908,-21.05,-3.7207695726712813,-21.05
1771590280.325011,15.45,2.3420915613689757,15.45
1771590280.353395,-32.7,-5.655901962029336,-32.7
1771590280.355470,1.85,0.08305289224712659,1.85
1771590280.355576,-9.5,-1.802247761762652,-9.5
1771590280.383385,25.55,4.019759984760937,25.55
1771590280.385050,-6.3,-1.2707092513810403,-6.3
1771590280.412976,9.5,1.3537621436281668,9.5
1771590280.415060,-1.25,-0.43187503968505964,-1.25
1771590280.415158,7.25,0.9800241285160961,7.25
1771590280.415276,10.35,1.4949520604482822,10.35
1771590280.443061,16.55,2.524807924312655,16.55
1771590280.472886,-17.85,-3.18923106228967,-17.85
1771590280.474930,-15.85,-2.857019493301163,-15.85
1771590280.475044,5.0,0.6062861134040255,5.0
1771590280.503116,1.75,0.06644231379770121,1.75
1771590280.505369,-16.1,-2.898545939424726,-16.1
1771590280.505459,7.1,0.955108260841958,7.1
1771590280.505547,-2.8,-0.6893390056511527,-2.8
1771590280.507120,-2.2,-0.5896755349546006,-2.2
1771590280.535414,15.5,2.3503968505936883,15.5
1771590280.535817,0.55,-0.13288462759540312,0.55
1771590280.535953,-2.45,-0.631201981078164,-2.45
1771590280.563907,-7.25,-1.4285097466505814,-7.25
1771590280.566869,11.95,1.760721315639088,11.95
