Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771577552.375379,68.9,5.647596672804624,68.9
1771577552.375671,-0.8,-5.929976506444852,-0.8
1771577552.375736,40.45,0.9218871039431081,40.45
1771577552.403175,61.3,4.385192710648295,61.3
1771577552.404959,28.2,-1.112908756111499,28.2
1771577552.405070,42.4,1.245793383706902,42.4
1771577552.433766,45.5,1.7607213156390882,45.5
1771577552.435418,9.2,-4.268918661502317,9.2
1771577552.465347,25.05,-1.6361419772683974,25.05
1771577552.465448,42.8,1.312235697504603,42.8
1771577552.465792,53.45,3.0812623023684047,53.45
1771577552.466120,42.6,1.2790145406057531,42.6
1771577552.495588,65.25,5.041310559400596,65.25
1771577552.495716,23.2,-1.943437678582767,23.2
1771577552.496133,36.45,0.2574639659660938,36.45
1771577552.523965,32.2,-0.44848561813448395,32.2
1771577552.525433,20.3,-2.425144453616102,20.3
1771577552.525522,23.4,-1.9102165216839162,23.4
1771577552.553408,50.9,2.6576925519080574,50.9
1771577552.555265,45.0,1.6776684233919614,45.0
1771577552.555362,10.9,-3.986538827862086,10.9
1771577552.583476,62.45,4.576214362816687,62.45
1771577552.585222,35.6,0.11627404914597798,35.6
1771577552.613226,11.85,-3.8287383325925446,11.85
1771577552.615144,61.7,4.451635024445997,61.7
1771577552.615464,10.35,-4.077897009333925,10.35
1771577552.615681,40.65,0.9551082608419581,40.65
1771577552.643634,59.7,4.11942345545749,59.7
1771577552.645133,31.9,-0.49831735348276074,31.9
1771577552.673527,27.75,-1.1876563591339129,27.75
1771577552.675396,20.25,-2.433449742840815,20.25
1771577552.675512,33.35,-0.2574639659660926,33.35
1771577552.703495,61.6,4.4350244459965715,61.6
1771577552.705242,27.35,-1.2540986729316141,27.35
1771577552.733139,49.15,2.3670074290431136,49.15
1771577552.735185,41.7,1.1295193345609251,41.7
1771577552.735276,34.8,-0.016610578449425595,34.8
1771577552.763121,18.4,-2.740745444155184,18.4
1771577552.765287,41.85,1.154435202235063,41.85
1771577552.765418,16.35,-3.081262302368404,16.35
1771577552.765877,25.05,-1.6361419772683974,25.05
1771577552.793450,54.2,3.205841640739095,54.2
1771577552.795267,9.45,-4.227392215378754,9.45
1771577552.795540,22.2,-2.1095434630770207,22.2
1771577552.825471,58.0,3.837043621817258,58.0
1771577552.825617,37.3,0.3986538827862084,37.3
1771577552.853112,23.95,-1.8188583402120766,23.95
1771577552.855180,47.65,2.1178487523017333,47.65
1771577552.855285,27.0,-1.312235697504603,27.0
1771577552.855535,10.95,-3.9782335386373733,10.95
1771577552.883435,47.2,2.04310114927932,47.2
1771577552.885315,13.8,-3.50483205282875,13.8
1771577552.885392,-12.25,-7.831887738904056,-12.25
1771577552.943696,51.15,2.699218998031621,51.15
1771577552.945463,8.95,-4.31044510762588,8.95
1771577552.945686,32.45,-0.4069591720109206,32.45
1771577552.945953,37.9,0.49831735348276074,37.9
1771577552.947271,34.1,-0.1328846275954024,34.1
1771577552.947353,22.4,-2.0763223061781697,22.4
1771577552.975526,58.65,3.9450123817385228,58.65
1771577552.975888,-8.75,-7.2505174931741685,-8.75
1771577552.976195,29.95,-0.8222236332465551,29.95
1771577553.003411,16.75,-3.0148199885707023,16.75
1771577553.005195,30.15,-0.7890024763477046,30.15
1771577553.005430,39.1,0.6976442948758655,39.1
1771577553.033759,70.3,5.880144771096576,70.3
1771577553.034868,36.35,0.24085338751666818,36.35
1771577553.063248,50.6,2.6078608165597816,50.6
1771577553.065042,55.55,3.4300844498063365,55.55
1771577553.065224,27.2,-1.2790145406057525,27.2
1771577553.095288,34.4,-0.0830528922471268,34.4
1771577553.095453,38.2,0.5481490888310375,38.2
1771577553.095842,16.7,-3.0231252777954154,16.7
1771577553.097037,48.0,2.175985776874722,48.0
1771577553.125301,25.7,-1.528173217347133,25.7
1771577553.125431,30.95,-0.6561178487523015,30.95
1771577553.153256,36.35,0.24085338751666818,36.35
1771577553.155243,18.85,-2.6659978411327696,18.85
1771577553.155355,24.0,-1.810553050987364,24.0
1771577553.183518,49.1,2.3587021398184014,49.1
1771577553.185561,5.45,-4.891815353355768,5.45
1771577553.185646,22.6,-2.0431011492793187,22.6
1771577553.213462,47.8,2.142764619975871,47.8
1771577553.215147,9.2,-4.268918661502317,9.2
1771577553.215244,14.15,-3.446695028255762,14.15
1771577553.243644,50.1,2.524807924312655,50.1
1771577553.245365,40.2,0.8803606578195448,40.2
1771577553.245490,34.05,-0.14118991682011578,34.05
1771577553.273524,64.4,4.900120642580482,64.4
1771577553.275186,12.55,-3.7124642834465673,12.55
1771577553.275273,44.05,1.51986792812242,44.05
1771577553.303500,53.55,3.097872880817829,53.55
1771577553.305399,6.95,-4.642656676614387,6.95
1771577553.305510,40.35,0.9052765254936825,40.35
1771577553.333626,42.25,1.220877516032764,42.25
1771577553.334899,30.2,-0.7806971871229917,30.2
1771577553.363280,21.6,-2.2092069337735722,21.6
1771577553.365226,42.55,1.2707092513810396,42.55
1771577553.365751,32.75,-0.35712743666264496,32.75
1771577553.365818,23.4,-1.9102165216839162,23.4
1771577553.393473,41.45,1.0879928884373617,41.45
1771577553.395208,3.8,-5.165889897771287,3.8
1771577553.395481,15.65,-3.1975363515143815,15.65
1771577553.423603,19.45,-2.566334370436218,19.45
1771577553.425041,19.05,-2.632776684233919,19.05
1771577553.453406,32.2,-0.44848561813448395,32.2
1771577553.455125,31.35,-0.5896755349545998,31.35
1771577553.455219,39.65,0.7890024763477046,39.65
1771577553.455310,38.95,0.6727284272017278,38.95
1771577553.483492,22.1,-2.1261540415264455,22.1
1771577553.484713,47.0,2.0098799923804687,47.0
1771577553.513499,42.05,1.1876563591339129,42.05
1771577553.515317,29.9,-0.830528922471268,29.9
1771577553.515427,31.65,-0.5398437996063241,31.65
1771577553.516905,42.9,1.3288462759540287,42.9
1771577553.545208,47.25,2.0514064385040323,47.25
1771577553.545582,22.7,-2.0264905708298935,22.7
1771577553.573398,28.2,-1.112908756111499,28.2
1771577553.575396,23.7,-1.86038478633564,23.7
1771577553.575463,21.55,-2.217512222998285,21.55
1771577553.603380,39.35,0.7391707409994289,39.35
1771577553.604964,13.2,-3.6044955235253027,13.2
1771577553.605068,17.3,-2.923461807098863,17.3
1771577553.633669,55.5,3.4217791605816243,55.5
1771577553.635065,5.7,-4.850288907232205,5.7
