Host_Time_s,Raw_V3,Force_N,Raw_V3_Filtered
1771577966.681797,-111.45,0.9551082608419583,-111.45
1771577966.682137,-100.7,2.7407454441551846,-100.7
1771577966.682255,-143.45,-4.360276842974155,-143.45
1771577966.682396,-147.75,-5.074531716299448,-147.75
1771577966.711726,-100.5,2.773966601054036,-100.5
1771577966.711972,-148.9,-5.26555336846784,-148.9
1771577966.712007,-153.8,-6.079471712489684,-153.8
1771577966.744672,-103.1,2.3420915613689774,-103.1
1771577966.744979,-151.85,-5.755565432725886,-151.85
1771577966.745030,-120.75,-0.5896755349545999,-120.75
1771577966.771994,-122.5,-0.8803606578195436,-122.5
1771577966.772410,-136.65,-3.2307575084132334,-136.65
1771577966.772493,-138.2,-3.4882214743793236,-138.2
1771577966.802751,-121.2,-0.6644231379770145,-121.2
1771577966.803028,-137.25,-3.3304209791097845,-137.25
1771577966.832912,-125.6,-1.3952885897517289,-125.6
1771577966.833391,-107.7,1.5780049526954094,-107.7
1771577966.833500,-128.65,-1.9019112324592045,-128.65
1771577966.862310,-126.7,-1.5780049526954094,-126.7
1771577966.863039,-123.85,-1.1046034668867852,-123.85
1771577966.863101,-133.8,-2.7573560226046117,-133.8
1771577966.863134,-130.0,-2.126154041526446,-130.0
1771577966.891744,-129.55,-2.0514064385040336,-129.55
1771577966.892056,-131.4,-2.358702139818402,-131.4
1771577966.922264,-106.25,1.8188583402120775,-106.25
1771577966.922752,-105.35,1.9683535462569068,-105.35
1771577966.922899,-114.25,0.49001206425804866,-114.25
1771577966.951851,-99.3,2.9732935424471405,-99.3
1771577966.952098,-113.95,0.5398437996063242,-113.95
1771577966.952192,-139.35,-3.6792431265477163,-139.35
1771577966.982148,-125.15,-1.3205409867293167,-125.15
1771577966.983274,-120.0,-0.46509619658390966,-120.0
1771577966.983353,-132.5,-2.5414185027620797,-132.5
1771577967.011968,-113.4,0.6312019810781633,-113.4
1771577967.012413,-154.45,-6.187440472410945,-154.45
1771577967.012819,-134.25,-2.8321036256270236,-134.25
1771577967.042060,-124.25,-1.1710457806844876,-124.25
1771577967.042430,-157.7,-6.727284272017269,-157.7
1771577967.042480,-105.85,1.8853006540097799,-105.85
1771577967.072147,-101.15,2.66599784113277,-101.15
1771577967.072719,-139.8,-3.753990729570133,-139.8
1771577967.072823,-137.9,-3.4383897390310505,-137.9
1771577967.131972,-105.85,1.8853006540097799,-105.85
1771577967.132472,-148.7,-5.232332211568987,-148.7
1771577967.132755,-150.35,-5.506406755984506,-150.35
1771577967.133084,-127.4,-1.6942790018413874,-127.4
1771577967.161859,-120.15,-0.49001206425804866,-120.15
1771577967.162173,-129.2,-1.993269413931041,-129.2
1771577967.162320,-95.1,3.6709378373230064,-95.1
1771577967.162602,-140.85,-3.9284018032890966,-140.85
1771577967.191394,-137.0,-3.288894532986221,-137.0
1771577967.191645,-80.8,6.046250555590833,-80.8
1771577967.191812,-148.95,-5.27385865769255,-148.95
1771577967.191968,-130.95,-2.283954536795985,-130.95
1771577967.220353,-103.6,2.2590386691218507,-103.6
1771577967.220679,-165.15,-7.964772366499461,-165.15
1771577967.221357,-134.4,-2.857019493301163,-134.4
1771577967.254116,-103.15,2.333786272144263,-103.15
1771577967.254547,-122.45,-0.8720553685948315,-122.45
1771577967.254749,-138.15,-3.4799161851546137,-138.15
1771577967.281902,-109.5,1.2790145406057534,-109.5
1771577967.282472,-131.3,-2.3420915613689774,-131.3
1771577967.282694,-118.75,-0.2574639659660926,-118.75
1771577967.311681,-112.95,0.7059495841005778,-112.95
1771577967.312107,-124.6,-1.2291828052574754,-124.6
1771577967.312169,-115.65,0.2574639659660926,-115.65
1771577967.342519,-115.45,0.29068512286494386,-115.45
1771577967.342908,-140.35,-3.84534891104197,-140.35
1771577967.372076,-121.65,-0.739170740999429,-121.65
1771577967.372591,-113.1,0.6810337164264413,-113.1
1771577967.372938,-136.45,-3.1975363515143798,-136.45
1771577967.401774,-96.85,3.3802527144580625,-96.85
1771577967.402258,-146.55,-4.875204774906345,-146.55
1771577967.431887,-133.15,-2.6493872626833457,-133.15
1771577967.432287,-93.4,3.9533176709632354,-93.4
1771577967.432757,-137.95,-3.44669502825576,-137.95
1771577967.461836,-125.45,-1.3703727220775923,-125.45
1771577967.462162,-118.1,-0.14949520604482683,-118.1
1771577967.462365,-127.2,-1.6610578449425362,-127.2
1771577967.462587,-119.0,-0.29899041208965604,-119.0
1771577967.491907,-97.8,3.222452219188521,-97.8
1771577967.492332,-116.6,0.09966347069655358,-116.6
1771577967.492394,-122.5,-0.8803606578195436,-122.5
1771577967.521868,-116.15,0.17441107371896583,-116.15
1771577967.522261,-127.7,-1.744110737189663,-127.7
1771577967.552137,-125.45,-1.3703727220775923,-125.45
1771577967.553048,-110.35,1.1378246237856386,-110.35
1771577967.553178,-132.45,-2.5331132135373653,-132.45
1771577967.553221,-143.65,-4.393497999873008,-143.65
1771577967.582887,-100.0,2.857019493301163,-100.0
1771577967.583473,-138.05,-3.4633056067051893,-138.05
1771577967.583549,-126.85,-1.602920820369546,-126.85
1771577967.614531,-63.05,8.994628230363833,-63.05
1771577967.614958,-134.05,-2.798882468728175,-134.05
1771577967.615027,-120.6,-0.5647596672804609,-120.6
1771577967.671468,-88.65,4.742320147310941,-88.65
1771577967.672065,-125.6,-1.3952885897517289,-125.6
1771577967.672348,-119.9,-0.44848561813448523,-119.9
1771577967.673307,-128.95,-1.9517429678074776,-128.95
1771577967.700980,-125.45,-1.3703727220775923,-125.45
1771577967.701538,-114.8,0.3986538827862096,-114.8
1771577967.701663,-113.5,0.6145914026287389,-113.5
1771577967.732884,-138.25,-3.496526763604038,-138.25
1771577967.733263,-125.9,-1.4451203251000069,-125.9
1771577967.733322,-110.3,1.1461299130103508,-110.3
1771577967.763019,-126.65,-1.5696996634706972,-126.65
1771577967.763312,-134.3,-2.8404089148517384,-134.3
1771577967.763428,-108.55,1.4368150358752947,-108.55
1771577967.763610,-120.95,-0.6228966918534511,-120.95
1771577967.791862,-110.95,1.038161153089085,-110.95
1771577967.792209,-108.75,1.4035938789764435,-108.75
1771577967.792304,-148.85,-5.2572480792431255,-148.85
1771577967.822295,-107.4,1.627836688043685,-107.4
1771577967.822754,-122.85,-0.9384976823925315,-122.85
1771577967.822958,-122.5,-0.8803606578195436,-122.5
1771577967.852066,-114.85,0.3903485935614974,-114.85
1771577967.852452,-122.0,-0.7973077655724169,-122.0
1771577967.852500,-121.7,-0.7474760302241412,-121.7
1771577967.882307,-111.1,1.0132452854149485,-111.1
1771577967.882777,-137.6,-3.3885580036827725,-137.6
1771577967.882840,-148.8,-5.248942790018416,-148.8
1771577967.912292,-92.85,4.044675852435077,-92.85
1771577967.913206,-137.1,-3.3055051114356457,-137.1
1771577967.913309,-136.8,-3.255673376087372,-136.8
1771577967.941540,-96.9,3.371947425233348,-96.9
1771577967.942049,-136.5,-3.205841640739094,-136.5
1771577967.942182,-111.35,0.971718839291385,-111.35
